,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2019-05-08,30000162,1.7280895,1.7627331999999998,1.7723741000000002,1.7921857,1.7950462,1.7922209999999998,1.7958936999999997
0,2019-05-07,30000162,1.7627331999999998,1.7723741000000002,1.7921857,1.7950462,1.7922209999999998,1.7958936999999997,1.8025682
0,2019-05-06,30000162,1.7723741000000002,1.7921857,1.7950462,1.7922209999999998,1.7958936999999997,1.8025682,1.7955406000000003
0,2019-05-05,30000162,1.7921857,1.7950462,1.7922209999999998,1.7958936999999997,1.8025682,1.7955406000000003,1.7886895
0,2019-05-04,30000162,1.7950462,1.7922209999999998,1.7958936999999997,1.8025682,1.7955406000000003,1.7886895,1.7810615
0,2019-05-03,30000162,1.7922209999999998,1.7958936999999997,1.8025682,1.7955406000000003,1.7886895,1.7810615,1.7851226999999998
0,2019-05-02,30000162,1.7958936999999997,1.8025682,1.7955406000000003,1.7886895,1.7810615,1.7851226999999998,1.7502671000000003
0,2019-05-01,30000162,1.8025682,1.7955406000000003,1.7886895,1.7810615,1.7851226999999998,1.7502671000000003,1.7191902
0,2019-04-30,30000162,1.7955406000000003,1.7886895,1.7810615,1.7851226999999998,1.7502671000000003,1.7191902,1.7187311
0,2019-04-29,30000162,1.7886895,1.7810615,1.7851226999999998,1.7502671000000003,1.7191902,1.7187311,1.7773535
0,2019-04-28,30000162,1.7810615,1.7851226999999998,1.7502671000000003,1.7191902,1.7187311,1.7773535,1.7810262
0,2019-04-27,30000162,1.7851226999999998,1.7502671000000003,1.7191902,1.7187311,1.7773535,1.7810262,1.7956465
0,2019-04-26,30000162,1.7502671000000003,1.7191902,1.7187311,1.7773535,1.7810262,1.7956465,1.7816971999999998
0,2019-04-25,30000162,1.7191902,1.7187311,1.7773535,1.7810262,1.7956465,1.7816971999999998,1.8215322
0,2019-04-24,30000162,1.7187311,1.7773535,1.7810262,1.7956465,1.7816971999999998,1.8215322,1.8075476000000001
0,2019-04-23,30000162,1.7773535,1.7810262,1.7956465,1.7816971999999998,1.8215322,1.8075476000000001,1.7469474999999999
0,2019-04-22,30000162,1.7810262,1.7956465,1.7816971999999998,1.8215322,1.8075476000000001,1.7469474999999999,1.7216269
0,2019-04-21,30000162,1.7956465,1.7816971999999998,1.8215322,1.8075476000000001,1.7469474999999999,1.7216269,1.7017093999999997
0,2019-04-20,30000162,1.7816971999999998,1.8215322,1.8075476000000001,1.7469474999999999,1.7216269,1.7017093999999997,1.7875593999999997
0,2019-04-19,30000162,1.8215322,1.8075476000000001,1.7469474999999999,1.7216269,1.7017093999999997,1.7875593999999997,1.7856523999999998
0,2019-04-18,30000162,1.8075476000000001,1.7469474999999999,1.7216269,1.7017093999999997,1.7875593999999997,1.7856523999999998,1.8266881000000001
0,2019-04-17,30000162,1.7469474999999999,1.7216269,1.7017093999999997,1.7875593999999997,1.7856523999999998,1.8266881000000001,1.8189189
0,2019-04-16,30000162,1.7216269,1.7017093999999997,1.7875593999999997,1.7856523999999998,1.8266881000000001,1.8189189,1.8187422999999998
0,2019-04-15,30000162,1.7017093999999997,1.7875593999999997,1.7856523999999998,1.8266881000000001,1.8189189,1.8187422999999998,1.8395074
0,2019-04-14,30000162,1.7875593999999997,1.7856523999999998,1.8266881000000001,1.8189189,1.8187422999999998,1.8395074,1.8170118999999998
0,2019-04-13,30000162,1.7856523999999998,1.8266881000000001,1.8189189,1.8187422999999998,1.8395074,1.8170118999999998,1.7740339
0,2019-04-12,30000162,1.8266881000000001,1.8189189,1.8187422999999998,1.8395074,1.8170118999999998,1.7740339,1.7783776000000002
0,2019-04-11,30000162,1.8189189,1.8187422999999998,1.8395074,1.8170118999999998,1.7740339,1.7783776000000002,1.8148577000000001
0,2019-04-10,30000162,1.8187422999999998,1.8395074,1.8170118999999998,1.7740339,1.7783776000000002,1.8148577000000001,1.7984363999999997
0,2019-04-09,30000162,1.8395074,1.8170118999999998,1.7740339,1.7783776000000002,1.8148577000000001,1.7984363999999997,1.8082892
0,2019-04-08,30000162,1.8170118999999998,1.7740339,1.7783776000000002,1.8148577000000001,1.7984363999999997,1.8082892,1.8235451
0,2019-04-07,30000162,1.7740339,1.7783776000000002,1.8148577000000001,1.7984363999999997,1.8082892,1.8235451,1.8384126
0,2019-04-06,30000162,1.7783776000000002,1.8148577000000001,1.7984363999999997,1.8082892,1.8235451,1.8384126,1.8257346
0,2019-04-05,30000162,1.8148577000000001,1.7984363999999997,1.8082892,1.8235451,1.8384126,1.8257346,1.8039808000000002
0,2019-04-04,30000162,1.7984363999999997,1.8082892,1.8235451,1.8384126,1.8257346,1.8039808000000002,1.7987189
0,2019-04-03,30000162,1.8082892,1.8235451,1.8384126,1.8257346,1.8039808000000002,1.7987189,1.7833217000000001
0,2019-04-02,30000162,1.8235451,1.8384126,1.8257346,1.8039808000000002,1.7987189,1.7833217000000001,1.789643
0,2019-04-01,30000162,1.8384126,1.8257346,1.8039808000000002,1.7987189,1.7833217000000001,1.789643,1.8038395
0,2019-03-31,30000162,1.8257346,1.8039808000000002,1.7987189,1.7833217000000001,1.789643,1.8038395,1.8073004000000001
0,2019-03-30,30000162,1.8039808000000002,1.7987189,1.7833217000000001,1.789643,1.8038395,1.8073004000000001,1.7777418999999999
0,2019-03-29,30000162,1.7987189,1.7833217000000001,1.789643,1.8038395,1.8073004000000001,1.7777418999999999,1.7598021000000001
0,2019-03-28,30000162,1.7833217000000001,1.789643,1.8038395,1.8073004000000001,1.7777418999999999,1.7598021000000001,1.7153409
0,2019-03-27,30000162,1.789643,1.8038395,1.8073004000000001,1.7777418999999999,1.7598021000000001,1.7153409,1.661486
